Rating,Review Title,Review Content
"1,0 von 5 Sternen",You get what you pay for (UPDATED 11 March 2021 - they offer me money for a better review!),"These earbuds look cheap, feel cheap and sound cheap. You'll get what you paid for. I bought it just for jogging, so that's fine. Features are very good and connection to my IOS works very, very well. However I can't make the gestures' control to work properly, nameley for volume control. Within this price range, I can live with that. Be aware that this set is - by no means - not even close to what you get from other (more expensive) brands like Apple or Bose. Audio quality is below average IMHO, and while the bass sounds strong (but lacks definition), the highs are very weak. And I do mean very weak, honestly, besides missing clarity and definition. Couldn't expect much for 35 EUR, but was expecting a bit more. Also note that built quality is cheap, both for the headphones and charging case. I do not understand how some people are even comparing it to the Airpods or Airpods Pro. I have a set of the later and it's just 2 worlds apart. All in all: I would not buy it again mostly due to the poor sound quality on the higher frequencies of the spectrum, and the gesture volume control that I can't manage to sort it out. Other than that, it's acceptable (and expected) for such price.UPDATE 11 March 2021: this morning I received an email from this seller asking me to change or delete my previous review above!!! In exchange they would fully refund me and also give me a bonus of 15 EUR on top! This is outrageous, indescribable, a scam to get better reviews! I was shocked and decided to revise my review from 3 starts to 1 star! This makes me question all the evaluations out there and how unreliable it can be for sellers like this. Absolutely shocking, I couldn't care less for the money but it's my obligation to warn everyone! This seller has no principles, be aware of that, do not trust it!"
"5,0 von 5 Sternen",» erstaunlich guter Halt,"Ich habe eigentlich mit allen in Ear Kopfhörern Probleme, dass diese überhaupt halten, ohne das ich mich bewege. Bisher habe ich die AirPods mit einem Silikonaufsatz genutzt um diese fest zu bekommen.Nun wollte ich nicht wieder so viel Geld ausgeben und habe diese mittelpreisigen Kopfhörer ausprobiert und einer der 3 Aufsätze passt wirklich gut, so dass ich mich sogar bewegen kann, ohne das diese Kopfhörer herausfallen.Die Anzeige auf der Ladeschale, welcher Kopfhörer gerade geladen wird und wie voll das Ladecase noch ist finde ich deutlich praktischer als diese Infos nur am Handy bereitzustellen. Gerade wenn ich nur meine Uhr mit diesen verbinde.Der Sound ist in meinen Augen und Ohren super. Ich bin aber auch kein extremer Soundfetischst und achte auf jede Höhe und Tiefe bei den Tönen. Die Bässe klingen gut und der in Ear hält.Aufgeladen wird das ganze mittels USB-C Anschluss. Also auch hier geht man mit der Zeit.Von der Akkulaufzeit bin ich echt beeindruckt. Meine AirPods haben nach 2,5h so langsam aufgegeben. Mit diesen hier konnte ich 5h am Stück Musik hören und es wäre sicher auch noch etwas länger gegangen.Für mein ein sehr gutes Preis-Leistungsverhältnis für Technik auf der Höhe der Zeit."
"5,0 von 5 Sternen",Klare Kaufempfehlung für 40 EUR. Lohnt sich auf jeden!,"Das sind jetzt meine ersten Wireless Earbuds, nachdem ich mich jetzt schon zum zweiten male während der Autofahrt beim Telefonieren erwischen lassen hab. Nach den saftigen Geldstrafen, den Punkten, die registriert wurden, hab ich mir diese genialen Earbuds geholt. Die Kopfhörer sehen sehr edel aus und haben dazu einen richtig süßen kleinen case, der auch sehr edel und kompakt ist. Die Anzeige der Ladung am case ist perfekt, weil so kann man sich gut drauf einstellen, wann man wieder laden muss. Die Klangqualität ist mega. Ich telefoniere wirklich sehr viel und das war mir jetzt auf Dauer zu anstrengend, das Telefon ständig in der Hand zu halten. Nach einer Std. macht der Arm auch nicht mit. Ich liebe es während dem Bügeln etc. zu telefonieren. Wenn man die Kopfhörer benutzt, kann man währenddessen jegliche Arbeiten verrichten. Ich muss ehrlich bestehen, dass mir als allererstes das Design gefallen hat. Die Soundqualität ist so angenehm, wenn man Musik hört, was mich fast überrascht hat. Ich habe bisher gewöhnliche Kopfhörer mit Kabeln gehabt von günstig bis teuer und wenn ich vergleiche, können meine teuersten Kopfhörer mit den X15 nicht mithalten. Ich finde es auch sehr lästig mit der Kabelwurst jedes mal. Ich überlege mir jetzt nochmal welche für das Auto zu bestellen, um sie permanent im Auto zu lassen, weil ich so vergesslich bin.  Beim joggen hat es angefangen zu regnen und ich bin pitschnass nach Hause gegangen, die Kopfhörer haben auch was angekommen aber funktionieren einwandfrei. Trotzdem sollte man damit vielleicht nicht duschen gehen."
"4,0 von 5 Sternen",Lautstärkeregelung hat - bei diesem Gerät? - nicht funktioniert,"An und für sich ein schönes Produkt, die Ohrhörer sitzen echt bequem und drücken nicht.Auch das Klangbild ist grundsätzlich in Ordnung.Aber: Leider konnte ich die in der Bedienungsanleitung (für die man eine Lupe braucht ;-) beschriebene Lautstärkeregelung (3x drücken und lange halten???) nicht aktivieren... und die von Werk aus eingestellte Lautstärke ist für meine fast 60 Jahre alten Ohren leider viel zu gering.Der Knopf am linken Ohrhörer funktionierte ja nach Laune... mal ja, dann nein.Habe es zurückgesandt und mich für ein Produkt mit fixen Knöpfen (+/-)für die Lautstärkeregelung entschieden."
"3,0 von 5 Sternen",gemischte Gefühle,"Die Klangqualität ist für mich einfach top. Da können 5 fach teurere air pods teils nicht mal mithalten!Preisleistung ist hier hervorragend.2 Stetne Abzug gibt es jedoch wegen Laufzeit und Akku Case. Die Laufzeit ist beim music hören viel kürzer als angegeben. Die Akku Anzeige ist nicht immer korrekt. manchmal kann ich es bis 100% laden, manchmal jedoch bis 78-81% prozent. danach läd es nicht weiter. deshalb will ich vom kauf weder abraten, noch befürworten, bin jedoch trotzdem mehrheitlich zufrieden."
"5,0 von 5 Sternen",Klare kaufempfehlung!,"Ich habe die Kopfhörer jetzt seit 2 Monaten in Gebrauch und bin positiv überrascht. Für den Preis gibt es nichts zu meckern.Die Tonqualität ist erstaunlich gut (klar, besser ist sicherlich noch möglich aber für den normalen Gebrauch wirklich nicht nötig!).Lediglich beim telefonieren ist es teilweise etwas schlechter aber immernoch im Rahmen.Auch der Komfort und der Halt sind super. Besonders wichtig war mir der Halt, um sich auch mit den Stöpsel gut bewegen zu können und das klappt problemlos.Die Akkuanzeige und die Akkukapazität gefallen mir besonders gut. Man muss die Stöpsel bei ""normalem Gebrauch"" nicht täglich laden und wenn sie mal länger liegen bleiben ist der Akku auch nicht sofort leer.Also alles in allem wirklich super Kopfhörer zu einem Top Preis mit einem wirklich schönen und hochwertigen Design!"
"1,0 von 5 Sternen",Erst gut dann schlecht.,"Positiv: Ist der Sitz der Hörer im Ohr.Negativ: Verstellung der Hörer ist nur mit Geduld zu ertragen, sehr viel Geduld!!!!! Nur möglich die Hörer aus den Ohren zunehmen und wieder viel Geduld bei den Einstellungen, wenn überhaupt möglich.Nach 2 Monaten Nutzung mit viel Ärger bekomme ich nach 2-3 Stunden Batterie laden obwohl noch 60% angezeigt wird. Wobei der rechte Hörer schon weit vorher Batterie laden meldet und das bei gleicher Aufladung!!!!!!Der Klang lässt auch Wünsche offen.Vielleicht ist es ja ein Montags Produkt.Ich hoffe die  Firma Tiksounds ist so kulant mir ein neues Paar Kopfhörer im Tausch zusenden!!!!!!!Dieses Paar Kopfhörer kann auf keinen Fall weiter empfehlen .MfGH.Stember"
"3,0 von 5 Sternen",Die Tonqualität ist gut,"Nachdem ich bereits mehrere Earpods ausprobiert und gleich wieder zurückgeschickt habe, habe ich diese nun behalten. Die Tonqualität hat mich ggü allen bisher getesteten wirklich überzeugt. Absolut nicht überzeugen kann mich das Aufbewahrungscase. Aufgeklappt kippt es um, liegend klappt der Deckel zu. Das Herausnehmen der Kopfhörer ist (jedenfalls für mich) eine totale Fummelei. Also konnte mich nur die sehr gute Tonqualität zum Behalten überzeugen. Die Trageeigenschaften sind für mich ok, aber auch nicht mehr. Insgesamt für mich 3*."
"5,0 von 5 Sternen",More than satisfied,"One more favourite clever gadget to my collection. I like things that’s simplifies my life. The earbuds fits very comfortable, and the best thing about them is that I didn’t have to do anything to set them, ( like to download the app, or charge first, or waist my time to read the instructions) literally I put them in the ear switched on Bluetooth and they started pairing and my day working perfectly. The battery life is impressive as well, 5 days without any charging and then just top up the power charging case. Charging case is so stylish and elegant and and I love that it’s showing how much battery left. Sound is great and clear, I like the bass effect on them."
"5,0 von 5 Sternen",Excellent ear buds,"I have been looking at ear buds for a while but wasn't sure I would get on with them and didn't want to spend a lot in case I didn't. These caught my eye with the neatness of the package and good reviews so I bought them, not a big loss if I didn't like. Well, they a more than I expected, the whole package is nicely engineered, they connected first time to my MacBook and sound great. Now, I'm a bit old in the tooth and though I know what I'm doing with tech stuff I do have a bit of trouble with the 'tap' controls so I adjust volume on the pc instead, old dogs and new tricks you know, there are other things you can control with tapping the buds like answering calls on your mobile but will leave that for a while.. The buds charge up automatically when they are placed back in the holder. The holder is charged from your computer or usual wall socket usb charger. The amount of charge left in the case is displayed on the side along with indication of the individual buds charging when they need it. The first buds I have purchased and I am more than happy with them, I don't think anyone would regret buying these at this price, you can't go wrong."
