Rating,Review Title,Review Content
"3,0 von 5 Sternen","Gute Kopfhörer - Ladeschale, Software und Ambient Aware verbesserungswürdig","Gute Kopfhörer - Ladeschale, Software und Ambient Aware verbesserungswürdig"
"1,0 von 5 Sternen",Probleme beim Aufladen des rechten Buds,Probleme beim Aufladen des rechten Buds
"1,0 von 5 Sternen",Entäuschende Paßform und Steuerung,Entäuschende Paßform und Steuerung
"5,0 von 5 Sternen",JBL Reflect Mini,JBL Reflect Mini
"3,0 von 5 Sternen",Für kleine Ohren leider nicht optimal.,Für kleine Ohren leider nicht optimal.
"5,0 von 5 Sternen",Einfach klasse,Einfach klasse
"2,0 von 5 Sternen",ANC ohne Funktion,ANC ohne Funktion
"3,0 von 5 Sternen","Erstmal gut, dann defekt, geht zurück :(","Erstmal gut, dann defekt, geht zurück :("
"3,0 von 5 Sternen","Gut, wenn sie funktionieren.","Gut, wenn sie funktionieren."
"2,0 von 5 Sternen",Für Sport eher weniger geeignet,Für Sport eher weniger geeignet
